,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,salt_100g,sodium_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-estimate_100g,fiber_100g,proteins_100g,fruits-vegetables-nuts-filling-estimate
en:plant-based-foods-and-beverages,544.0,1.2,0.3,4.0,0.0970000000000001,0.0381889763779528,50.0,56.0,2.7,2.4,55.0
en:plant-based-foods,544.0,1.2,0.3,4.0,0.0970000000000001,0.0381889763779528,50.0,56.0,2.7,2.4,55.0
en:beverages,121.0,0.0,0.0,8.5,0.01,0.00393700787401575,50.0,43.0,0.0,0.1,47.0
en:sugary-snacks,1929.0,22.0,10.5,34.4,0.3,0.118110236220472,15.0,13.0,2.6,6.1,13.4
en:dairies,623.0,8.0,5.0,4.0,0.15,0.0590551181102362,7.0,8.0,0.0,4.3,8.0
en:non-alcoholic-beverages,159.0,0.0,0.0,8.3,0.01,0.00393700787401575,50.0,51.0,0.0,0.2,50.0
en:fruits-and-vegetables-based-foods,247.0,0.4,0.1,10.7,0.0508,0.02,60.0,60.0,2.0,0.9,60.0
en:cereals-and-potatoes,1494.0,3.6,0.7,3.0,0.5399999999999989,0.21259842519685,3.4,12.0,4.0,8.7,10.0
en:meals,619.0,6.2,1.5,1.9,0.9,0.3543307086614171,36.75,32.7,1.6,6.7,33.6
en:fermented-foods,941.0,18.0,12.0,2.8,0.6,0.23622047244094502,8.0,8.0,0.0,9.0,8.0
en:fermented-milk-products,949.0,18.0,12.0,2.8,0.6,0.23622047244094502,8.0,8.0,0.0,9.0,8.0
en:biscuits-and-cakes,1895.0,21.0,9.1,30.0,0.55,0.216535433070866,12.0,10.0,2.4,6.0,10.0
en:spreads,1079.0,9.5,1.5,38.1,0.1,0.0393700787401575,50.0,55.0,1.2,0.7,55.0
en:cereals-and-their-products,1499.0,2.5,0.6,3.1,0.1,0.0393700787401575,6.0,14.0,3.6,9.5,13.0
en:groceries,485.0,4.5,0.7,4.0,1.7,0.669291338582677,4.0,60.5,1.0,1.4,56.2
en:desserts,561.0,4.59,2.4,17.7,0.1016,0.04,45.0,44.8,1.3,3.2,44.9
en:breakfasts,1301.0,0.7,0.2,45.8,0.0499999999999999,0.0196850393700787,50.0,55.0,3.9,1.0,55.0
en:plant-based-beverages,176.0,0.03,0.0,9.0,0.01,0.00393700787401575,50.0,50.0,0.2,0.4,50.0
en:meats,926.0,15.0,5.5,0.7,1.8,0.708661417322835,0.0,6.7,0.4,19.0,3.0
en:fruits-based-foods,680.0,0.3,0.06,40.0,0.01,0.00393700787401575,61.0,60.0,1.8,0.5,60.0
en:frozen-foods,697.0,6.7,2.5,3.1,0.34,0.133858267716535,43.5,37.0,1.6,4.2,37.349999999999994
en:cheeses,1251.0,25.0,17.0,0.5,1.4,0.551181102362205,0.0,4.5,0.0,19.0,0.0
en:canned-foods,350.5,1.3275000000000001,0.3,1.1,0.8,0.31496062992126,55.0,52.0,2.0,3.8,53.5
en:sugared-beverages,180.0,0.0,0.0,9.9,0.01,0.00393700787401575,15.0,12.0,0.0,0.1,12.0
en:vegetables-based-foods,119.0,0.5,0.1,2.2,0.53,0.208661417322835,80.0,80.0,2.4,1.7,80.0
en:biscuits,1895.0,21.0,9.1,30.0,0.55,0.216535433070866,11.5,10.0,2.4,6.0,10.0
en:prepared-meats,1044.0,19.0,7.2,0.7,1.9352,0.7618897637795276,0.0,3.5,0.01,19.0,1.9
en:chocolates,2297.0,35.8,20.1,45.0,0.11,0.0433070866141732,0.0,14.0,4.6,7.0,14.0
en:sauces,615.0,7.1,1.0,4.5,1.7,0.669291338582677,0.0,60.0,0.9,1.45,54.0
en:alcoholic-beverages,0.0,0.0,0.0,0.66,0.0,0.0,0.0,2.5,0.0,0.4,0.0
en:sweet-spreads,1027.0,0.21,0.05,54.6,0.02,0.0078740157480315,50.0,55.0,1.3,0.5,55.0
en:confectioneries,1724.0,13.0,3.0,51.0,0.1,0.0393700787401575,15.0,20.0,1.3,4.5,19.0
en:fresh-foods,554.0,7.3,2.2,1.7,0.9,0.3543307086614171,21.35,20.474,1.0,6.7,21.0
en:plant-based-spreads,1004.0,0.42,0.1,50.0,0.0254,0.01,50.5,55.0,1.5,0.5,55.0
en:fruit-based-beverages,188.0,0.0,0.0,10.0,0.0050799999999999994,0.002,50.0,50.0,0.2,0.3,50.0
en:salty-snacks,2096.0,27.45,3.1,2.7,1.524,0.6,46.5,39.1,4.0,6.7,40.0
